employee_id,department,salary,years_at_company,age,job_satisfaction,performance_score,last_promotion_year,education_level,gender,hired_date,etat_civil,enfants,groupe_sanguin
1,Sales,"60,000",5,30,7,85,2018,Bachelor,Male,15-06-2015,Marie,3,A+
2,Engineering,95,8,35,8,90,2017,Master,F,1-Sep-12,Divorce,1,O+
3,HR,45K,2 years,28,6,70,2020,Bachelor,Female,23-04-2019,Marie,3,A+
4,Marketing,75K,10,40,9,95,2015,Master,M,10-Feb-10,Celibataire,3,B+
5,IT,"50,000.00",3 years,25,5,60,2011,Bachelor,Male,18-07-18,marie,1,A+
6,Engineering,85K,6,33,7,88,2019,Master,M,3-Oct-16,marie,0,O+
7,Marketing,70,7,38,8,92,2016,Bachelor,F,14-May-13,marie,3,A+
8,Sales,55,4,29,6,75,2021,Bachelor,M,22-Jun-18,marie,2,A+
9,IT,48,2,26,5,62,2022,Master,F,7-Nov-19,Celibataire,0,O-
10,HR,40K,1,24,4,68,2023,Bachelor,F,30-Aug-20,Divorce,2,A-
11,Engineering,80,5,32,7,85,2018,Master,M,12-Dec-17,Celibataire,3,A+
12,IT,52,3,27,5,60,2020,Bachelor,M,19-Apr-18,Marie,3,A+
13,Sales,"57,000.00",5,31,6,80,2019,Master,F,25-Jul-16,Marie,5,A+
14,Marketing,70000,8,37,8,94,2017,Bachelor,M,8-Mar-14,Marie,4,A+
15,HR,55000,2,25,5,70,2021,Master,F,11-Sep-18,Divorce,0,A-
16,Engineering,48000,7,34,8,90,2015,Bachelor,F,28-Oct-12,Marie,3,O+
17,IT,40000,4,28,6,65,2023,Master,M,5-Jun-20,Celibataire,1,A-
18,Sales,80000,6,30,7,85,2018,Bachelor,Male,15-Jun-15,Marie,2,O+
19,Marketing,52000,10,40,9,95,2015,Master,M,10-Feb-10,Marie,2,A+
20,HR,57000,2,28,6,70,2020,Bachelor,F,23-Apr-19,Divorce,1,A-
21,IT,72000,3,25,5,60,2011,Bachelor,Male,18-Jul-18,Marie,3,A-
22,Engineering,42000,6,33,7,88,2019,Master,M,3-Oct-16,Marie,1,A+
23,Marketing,90000,7,38,8,92,2016,Bachelor,F,14-May-13,Celibataire,0,O+
24,Sales,55000,4,29,6,75,2021,Bachelor,M,22-Jun-18,Marie,2,A+
25,IT,"60,000",2,26,5,62,2022,Master,F,7-Nov-19,Marie,2,A+
26,HR,75000,1,24,4,68,2023,Bachelor,F,30-Aug-20,Divorce,1,B+
27,Engineering,45000,4,29,6,72,2023,Master,M,14-Nov-20,Celibataire,2,O+
28,Marketing,"50,000.00",5,34,7,80,2019,Bachelor,Female,8-Oct-18,Marie,3,O+
29,Sales,,2,26,5,65,2022,Bachelor,M,5-Jul-19,Divorce,3,B+
30,IT,70000,1,24,4,60,2023,Master,F,18-Feb-20,Celibataire,2,A+
31,HR,55000,1,23,3,55,2024,Bachelor,M,25-Jun-21,Divorce,1,O+
32,Engineering,48000,6,32,7,85,2018,Master,M,12-Dec-17,Celibataire,1,A+
33,IT,40000,3,27,5,62,2020,Bachelor,M,19-Apr-18,Marie,0,B+
34,Sales,78K,5,31,6,80,2019,Master,F,25-07-2016,Divorce,1,A+
35,Marketing,63000,8,37,8,94,2017,,M,8-Mar-14,Celibataire,3,O+
36,HR,48000,2,25,5,70,2021,Master,F,11-Sep-18,Divorce,0,O+
37,Engineering,42000,7,34,8,90,2015,Bachelor,F,28-Oct-12,Marie,0,A-
38,IT,35000,4,28,6,65,2023,Master,M,6-May-20,Celibataire,2,A+
39,Sales,82000,6,30,7,85,2018,Bachelor,M,15-Jun-15,Marie,0,B-
40,Marketing,53000,10,40,9,95,2015,Master,M,10-Feb-10,Marie,1,B+
41,HR,58000,2,28,6,70,2020,Bachelor,F,23-Apr-19,Marie,2,A+
42,IT,73000,3,25,5,60,2011,,M,18-Jul-18,Divorce,2,O+
43,Engineering,43000,6,33,7,88,2019,Master,M,3-Oct-16,Celibataire,3,O+
44,Marketing,88K,7,38,8,92,2016,Bachelor,F,14-May-13,Marie,4,A+
45,Sales,55000,4,29,6,75,2021,Bachelor,M,22-06-2018,Marie,5,O+
46,IT,60000,2,26,5,62,2022,Master,F,7-Nov-19,Celibataire,3,O+
47,HR,75000,1,24,4,68,2023,Bachelor,F,30-Aug-20,Celibataire,3,B+
